,fr_w,nmot_w,rl_w,nearest_rpm,nearest_load,weight
2844,1.25,2054.0,15.2813,2250.0,17.5,0.005019609102960716
2845,1.25,2018.0,15.1641,2250.0,17.5,0.004249245440240949
2846,1.25,2008.25,15.7969,2250.0,17.5,0.004090764240666205
2847,1.25,1956.0,19.4063,1750.0,17.5,0.004786835054759
2848,1.25,1817.5,28.2656,1750.0,25.0,0.013934252622426343
2849,1.25,1700.5,39.4688,1750.0,35.0,0.018192138085604926
2850,1.25,1737.5,48.0,1750.0,47.5,0.07142857142857142
2851,1.20639,1861.25,51.75,1750.0,47.5,0.008583690987124463
2852,1.17069,1936.0,54.7031,1750.0,60.0,0.005200291840378082
2853,1.14511,1909.25,56.9766,1750.0,60.0,0.006124696368177547
2854,1.12503,1813.0,57.8906,1750.0,60.0,0.015126441928076795
2855,1.10474,1826.25,59.9531,1750.0,60.0,0.012937129432098831
2856,1.08212,1917.5,59.9766,1750.0,60.0,0.005933894046761459
2857,1.05618,1994.0,60.0469,1750.0,60.0,0.004080851461495738
2858,1.03265,2008.25,61.7578,2250.0,60.0,0.004089849076389383
2859,1.01636,1968.5,63.9609,1750.0,60.0,0.004475055815133654
2860,1.00485,1967.5,65.5781,1750.0,70.0,0.004485875995135516
2861,1.0,2014.5,66.9609,2250.0,70.0,0.004174683799012353
2862,1.0,2091.25,68.1094,2250.0,70.0,0.006186564514113409
2863,1.0,2116.75,68.8594,2250.0,70.0,0.0073860371399491545
2864,1.0,2114.25,70.7109,2250.0,70.0,0.007274795960160309
2865,1.0,2114.5,71.6953,2250.0,70.0,0.007236136105931244
2866,1.0,2153.75,72.7734,2250.0,70.0,0.009997660547431902
2867,1.0,2212.5,73.8047,2250.0,70.0,0.023638035490146488
2868,1.0,2244.25,74.4844,2250.0,70.0,0.08901231930499186
2869,1.0,2273.75,78.2109,2250.0,80.0,0.03768025290985753
2870,1.0,2299.5,81.0234,2250.0,80.0,0.019408657037384956
2871,1.0,2323.25,82.5,2250.0,80.0,0.013029315960912053
2872,1.0,2362.0,84.2578,2250.0,80.0,0.008528217312622273
2873,1.0,2400.5,86.2266,2500.0,90.0,0.009590173524599755
2874,1.00699,2443.75,87.5391,2500.0,90.0,0.016747361034584976
2875,0.998322,2477.0,89.4609,2500.0,90.0,0.04075129079713599
2876,0.991517,2491.75,90.8203,2500.0,90.0,0.09930190758964477
2877,0.986298,2516.5,92.3203,2500.0,90.0,0.05045332310812651
2878,0.98053,2574.0,93.4688,2500.0,90.0,0.012743918602043105
2879,0.977143,2648.5,95.6719,2500.0,90.0,0.006444465782786703
2880,0.94394,2671.75,96.75,2500.0,90.0,0.005571030640668524
2881,0.938782,2668.75,98.2031,2500.0,90.0,0.005619458160605238
2882,0.933289,2698.75,99.6797,2500.0,107.5,0.004817644913554588
2883,0.927216,2756.5,101.227,3000.0,107.5,0.0039876701239766645
2884,0.91858,2823.75,104.438,3000.0,107.5,0.005545942588402324
2885,0.913422,2851.25,107.203,3000.0,107.5,0.0066645784320912786
2886,0.920777,2880.0,108.422,3000.0,107.5,0.00820196519085973
2887,0.918122,2924.5,110.602,3000.0,107.5,0.012562498429687695
2888,0.916779,2971.75,112.336,3000.0,107.5,0.029337557941676935
2889,0.914735,3019.0,112.195,3000.0,107.5,0.040494027130998186
2890,0.910615,3062.75,112.195,3000.0,107.5,0.014610271020527432
2891,0.904999,3107.75,111.328,3000.0,107.5,0.008882730195953028
2892,0.899201,3145.5,108.398,3000.0,107.5,0.006784352569234318
2893,0.893525,3178.25,105.938,3000.0,107.5,0.005530606375683029
2894,0.888734,3217.5,102.07,3000.0,107.5,0.004465681239673112
2895,0.885743,3250.75,96.9844,3500.0,90.0,0.00388750493713127
2896,0.883668,3288.75,92.5313,3500.0,90.0,0.00465589881428225
2897,0.884675,3330.5,88.6406,3500.0,90.0,0.005818709945455413
2898,0.886841,3363.0,84.7266,3500.0,80.0,0.00700640245055932
2899,0.892396,3387.75,83.8828,3500.0,80.0,0.008537318325866025
2900,0.918336,3430.75,82.7109,3500.0,80.0,0.01370597128050778
2901,0.936066,3467.75,82.4766,3500.0,80.0,0.02799034892768973
2902,0.95221,3490.75,82.7813,3500.0,80.0,0.07673831467313313
2903,0.963319,3516.5,83.9297,3500.0,80.0,0.04666420901832504
2904,0.949036,3559.5,85.3828,3500.0,90.0,0.015356925666337005
2905,0.95868,3598.25,87.75,3500.0,90.0,0.009852216748768473
2906,0.965394,3635.0,87.2813,3500.0,90.0,0.00720883341611477
2907,0.969422,3481.25,78.6797,3500.0,80.0,0.04746016905312216
2908,1.00223,3380.5,48.9141,3500.0,47.5,0.008202496675938222
2909,1.0,3371.0,31.8047,3500.0,35.0,0.007507772421399253
